id;region;year;type;conversion_factor_sec_elec;conversion_factor_sec_diesel;conversion_factor_sec_hydrogen;conversion_factor_sec_ethanol;conversion_factor_exo_rail_long_pkm;conversion_factor_exo_rail_short_pkm;optional_limitations;cost_fix_tra;cost_inv_tra;cost_var_tra;lifetime;market_share_range;mileage;occupancy_rate;wacc;ef_sec_diesel_emi_co2_f_tra;ef_sec_ethanol_emi_co2_f_tra;ef_sec_diesel_emi_ch4_f_tra;ef_sec_diesel_emi_n2o_f_tra;bandwidth_type;version;method;source;comment
11;DE;2021;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
12;DE;2024;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
13;DE;2027;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
14;DE;2030;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
15;DE;2035;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
16;DE;2040;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
17;DE;2045;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
18;DE;2050;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
19;DE;2060;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
20;DE;2070;tra_rail_ice_pass_long_diesel_1;;1.0;;;2.18;;;0;5000000;;30;;132416;100;global_scalars.wacc;global_emission_factors.diesel_fuel;;0.87;0.56;;srd_point_draft;{'conversion_factor_exo_rail_long_pkm': '', 'conversion_factor_sec_diesel': '', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': '', 'ef_sec_diesel_emi_co2_f_tra': '', 'ef_sec_diesel_emi_n2o_f_tra': '', 'lifetime': '', 'mileage': '', 'occupancy_rate': 'own calculation based on 8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': '8Wouter&Pablo2019', 'conversion_factor_sec_diesel': '8Wouter&Pablo2019', 'cost_inv_tra': '8Wouter&Pablo2019', 'ef_sec_diesel_emi_ch4_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_co2_f_tra': '8UNFCCC2021', 'ef_sec_diesel_emi_n2o_f_tra': '8UNFCCC2021', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8DeutscheBahnAG2023', 'occupancy_rate': '8DeutscheBahnAG2023, 8DLR&DIW2023'};{'conversion_factor_exo_rail_long_pkm': 'unit:BPkm/PJ', 'conversion_factor_sec_diesel': 'unit:PJ', 'cost_inv_tra': '', 'ef_sec_diesel_emi_ch4_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_co2_f_tra': 'unit:t/PJ', 'ef_sec_diesel_emi_n2o_f_tra': 'unit:t/PJ', 'lifetime': '', 'mileage': '', 'occupancy_rate': ''}
