id;region;year;type;conversion_factor_sec_kerosene;conversion_factor_sec_hydrogen;conversion_factor_sec_elec;conversion_factor_exo_air_natio_pkm;conversion_factor_exo_air_europ_pkm;conversion_factor_exo_air_inter_pkm;capacity_tra_inst_0;optional_limitations;cost_fix_tra;cost_inv_tra;cost_var_tra;lifetime;market_share_range;mileage;occupancy_rate;wacc;ef_sec_kerosene_emi_co2_f_tra;ef_sec_kerosene_emi_ch4_f_tra;ef_sec_kerosene_emi_n2o_f_tra;bandwidth_type;version;method;source;comment
1;DE;2021;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.325;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
2;DE;2024;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.325;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
3;DE;2027;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.325;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
4;DE;2030;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.325;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
5;DE;2035;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.3;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
6;DE;2040;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.25;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
7;DE;2045;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.2;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
8;DE;2050;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.15;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
9;DE;2060;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0.1;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
10;DE;2070;tra_air_ice_pass_natio_kerosene_0;1;;;0.389863548;;;0;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
11;DE;2021;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
12;DE;2024;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
13;DE;2027;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
14;DE;2030;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0.01;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
15;DE;2035;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0.02;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
16;DE;2040;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0.03;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
17;DE;2045;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0.04;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
18;DE;2050;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0.05;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
19;DE;2060;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0.06;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
20;DE;2070;tra_air_fcev_pass_natio_hydrogen_0;;1;;1.060853191;;;0.07;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
21;DE;2021;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
22;DE;2024;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
